pdb_id,pfam_accession,pfam_name,pfam_clan_name,pfam_description,interpro_accession,interpro_name,cath_code,cath_class,cath_architecture,cath_topology,cath_homologous_superfamily,ec_number,enzyme_name,enzyme_systematic_name,ec_hierarchy_name,go_id,biological_process,biological_function,biological_cell_component,scop_class,scop_fold,scop_superfamily,scop_family,uniprot_accession,uniprot_id,uniprot_coverage,bmrb_id,emdb_id,model_quality,data_quality,r_factor,resolution,r_free,entity_id
1v49,PF02991,Atg8,Ubiquitin,Autophagy protein Atg8 ubiquitin like,"IPR004241,IPR029071","Autophagy protein Atg8 ubiquitin-like,Ubiquitin-like domain superfamily",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,"GO:0006995,GO:0097352,GO:0006914,GO:0000045,GO:0009267,GO:0000422,GO:0016236,GO:0031625,GO:0005515,GO:0008017,GO:0005622,GO:0000421,GO:0016020,GO:0043231,GO:0005930,GO:0031410,GO:0005874,GO:0031090,GO:0012505,GO:0005737,GO:0005776,GO:0005856,GO:0005739,GO:0005829","cellular response to nitrogen starvation,autophagosome maturation,autophagy,autophagosome assembly,cellular response to starvation,autophagy of mitochondrion,macroautophagy","ubiquitin protein ligase binding,protein binding,microtubule binding","intracellular,autophagosome membrane,membrane,intracellular membrane-bounded organelle,axoneme,cytoplasmic vesicle,microtubule,organelle membrane,endomembrane system,cytoplasm,autophagosome,cytoskeleton,mitochondrion,cytosol",Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),Ubiquitin-like,GABARAP-like,Q9GZQ8,MLP3B_HUMAN,0.96,,,9.48,-1.0,,,,1
2kre,PF04564,U-box,RING,U-box domain,"IPR003613,IPR013083","U box domain,Zinc finger\, RING/FYVE/PHD-type",3.30.40.10,Alpha Beta,2-Layer Sandwich,Herpes Virus-1,"Zinc/RING finger domain\, C3HC4 (zinc finger)",2.3.2.27,RING-type E3 ubiquitin transferase,[E2 ubiquitin-conjugating enzyme]-S-ubiquitinyl-L-cysteine:[acceptor protein]-L-lysine ubiquitin transferase (isopeptide bond-forming; RING-type),"Transferases,Acyltransferases,Aminoacyltransferases,RING-type E3 ubiquitin transferase","GO:0016567,GO:0004842",protein ubiquitination,ubiquitin-protein transferase activity,,,,,,"O95155,O95155-3,O95155-4,O95155-2","UBE4B_HUMAN,UBE4B_HUMAN,UBE4B_HUMAN,UBE4B_HUMAN",0.07,,,0.69,-1.0,,,,1
1mdj,,,,,IPR011539,"Rel homology domain (RHD)\, DNA-binding domain",,,,,,,,,,"GO:0006355,GO:0003700,GO:0003677","regulation of transcription\, DNA-templated","DNA-binding transcription factor activity,DNA binding",,,,,,"P19838,P19838-3,P19838-2","NFKB1_HUMAN,NFKB1_HUMAN,NFKB1_HUMAN",0.01,,,18.28,-1.0,,,,2
1mdj,PF00085,Thioredoxin,Thioredoxin,Thioredoxin,"IPR005746,IPR036249,IPR013766","Thioredoxin,Thioredoxin-like superfamily,Thioredoxin domain",3.40.30.10,Alpha Beta,3-Layer(aba) Sandwich,Glutaredoxin,Glutaredoxin,,,,,"GO:0043388,GO:1903206,GO:0009314,GO:0006662,GO:0051897,GO:0033138,GO:0046826,GO:0098869,GO:0032148,GO:2000170,GO:0000122,GO:0055114,GO:0045454,GO:0071731,GO:0005515,GO:0015037,GO:0003723,GO:0042803,GO:0047134,GO:0004791,GO:0015035,GO:0005634,GO:0005654,GO:0070062,GO:0005623,GO:0005737,GO:0005576,GO:0005829","positive regulation of DNA binding,negative regulation of hydrogen peroxide-induced cell death,response to radiation,glycerol ether metabolic process,positive regulation of protein kinase B signaling,positive regulation of peptidyl-serine phosphorylation,negative regulation of protein export from nucleus,cellular oxidant detoxification,activation of protein kinase B activity,positive regulation of peptidyl-cysteine S-nitrosylation,negative regulation of transcription by RNA polymerase II,oxidation-reduction process,cell redox homeostasis,response to nitric oxide","protein binding,peptide disulfide oxidoreductase activity,RNA binding,protein homodimerization activity,protein-disulfide reductase activity,thioredoxin-disulfide reductase activity,protein disulfide oxidoreductase activity","nucleus,nucleoplasm,extracellular exosome,cell,cytoplasm,extracellular region,cytosol",Alpha and beta proteins (a/b),Thioredoxin fold,Thioredoxin-like,Thioltransferase,"P10599,P10599-2","THIO_HUMAN,THIO_HUMAN",1.0,,,18.28,-1.0,,,,1
2rpq,,,,,IPR026085,Activating transcription factor 7-interacting protein,,,,,,,,,,,,,,,,,,"Q6VMQ6,Q6VMQ6-2,Q6VMQ6-5,Q6VMQ6-4","MCAF1_HUMAN,MCAF1_HUMAN,MCAF1_HUMAN,MCAF1_HUMAN",0.03,,,17.17,-1.0,,,,2
2rpq,PF11976,Rad60-SLD,Ubiquitin,Ubiquitin-2 like Rad60 SUMO-like,"IPR029071,IPR000626,IPR022617","Ubiquitin-like domain superfamily,Ubiquitin-like domain,Rad60/SUMO-like domain",3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",,,,,"GO:0016925,GO:0032436,GO:0005515,GO:0031625,GO:0003723,GO:0016605,GO:0005634,GO:0005654","protein sumoylation,positive regulation of proteasomal ubiquitin-dependent protein catabolic process","protein binding,ubiquitin protein ligase binding,RNA binding","PML body,nucleus,nucleoplasm",Alpha and beta proteins (a+b),beta-Grasp (ubiquitin-like),Ubiquitin-like,Ubiquitin-related,"P61956,P61956-2","SUMO2_HUMAN,SUMO2_HUMAN",0.98,,,17.17,-1.0,,,,1
2jtf,PF02820,MBT,Tudor,mbt repeat,IPR004092,Mbt repeat,2.30.30.140,Mainly Beta,Roll,SH3 type barrels.,SH3 type barrels.,,,,,"GO:0006355,GO:0005634","regulation of transcription\, DNA-templated",,nucleus,,,,,"A8MW92,A8MW92-4,A8MW92-2","P20L1_HUMAN,P20L1_HUMAN,P20L1_HUMAN",0.07,,,8.63,-1.0,,,,1
5lkn,,,,,"IPR033019,IPR003961,IPR036116,IPR013783","Neural cell adhesion molecule 1,Fibronectin type III,Fibronectin type III superfamily,Immunoglobulin-like fold",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,,,,,"P13591,P13591-4,P13591-5,P13591-1,P13591-6,P13591-3","NCAM1_HUMAN,NCAM1_HUMAN,NCAM1_HUMAN,NCAM1_HUMAN,NCAM1_HUMAN,NCAM1_HUMAN",0.11,34026,,14.41,-1.0,,,,1
2kcc,PF00364,Biotin_lipoyl,Hybrid,Biotin-requiring enzyme,"IPR011053,IPR000089","Single hybrid motif,Biotin/lipoyl attachment","2.40.50.100,2.40.50.100","Mainly Beta,Mainly Beta","Beta Barrel,Beta Barrel","OB fold (Dihydrolipoamide Acetyltransferase\, E2P),OB fold (Dihydrolipoamide Acetyltransferase\, E2P)","OB fold (Dihydrolipoamide Acetyltransferase\, E2P),RNA polymerase II/Efflux pump adaptor protein\, barrel-sandwich hybrid domain","6.3.4.14,6.4.1.2","Biotin carboxylase,Acetyl-CoA carboxylase","[Biotin carboxyl-carrier protein]-biotin-N(6)-L-lysine:hydrogencarbonate ligase (ADP-forming),Acetyl-CoA:hydrogencarbonate ligase (ADP-forming)","Ligases,Forming carbon-nitrogen bonds,Other carbon--nitrogen ligases,Biotin carboxylase,Ligases,Forming carbon-carbon bonds,Forming carbon-carbon bonds,Acetyl-CoA carboxylase",,,,,,,,,"O00763,O00763-2,O00763-3","ACACB_HUMAN,ACACB_HUMAN,ACACB_HUMAN",0.03,,,8.28,-1.0,,,,1
2n5s,,,,,,,6.10.250.2930,,,,,2.7.10.1,Receptor protein-tyrosine kinase,ATP:[protein]-L-tyrosine O-phosphotransferase (receptor-type),"Transferases,Transferring phosphorus-containing groups,Protein-tyrosine kinases,Receptor protein-tyrosine kinase",,,,,,,,,"P00533,P00533-4,P00533-2,P00533-3","EGFR_HUMAN,EGFR_HUMAN,EGFR_HUMAN,EGFR_HUMAN",0.04,25729,,65.5,-1.0,,,,1
1u5m,PF00093,VWC,FnI-like,von Willebrand factor type C domain,IPR001007,VWFC domain,2.10.70.10,Mainly Beta,Ribbon,Complement Module; domain 1,"Complement Module\, domain 1",,,,,,,,,Small proteins,FnI-like domain,FnI-like domain,VWC domain,"P02458,P02458-3,P02458-1","CO2A1_HUMAN,CO2A1_HUMAN,CO2A1_HUMAN",0.05,,,3.44,-1.0,,,,1
2kno,PF00017,SH2,SH2-like,SH2 domain,"IPR036860,IPR000980,IPR035012","SH2 domain superfamily,SH2 domain,Tensin-like\, SH2 domain",3.30.505.10,Alpha Beta,2-Layer Sandwich,SHC Adaptor Protein,SH2 domain,3.1.3.48,Protein-tyrosine-phosphatase,Protein-tyrosine-phosphate phosphohydrolase,"Hydrolases,Acting on ester bonds,Phosphoric monoester hydrolases,Protein-tyrosine-phosphatase",,,,,,,,,"Q63HR2,Q63HR2-6,Q63HR2-4,Q63HR2-2,Q63HR2-5","TNS2_HUMAN,TNS2_HUMAN,TNS2_HUMAN,TNS2_HUMAN,TNS2_HUMAN",0.08,,,27.97,-1.0,,,,1
2ep4,PF13639,zf-RING_2,RING,Ring finger domain,"IPR013083,IPR040098,IPR011016,IPR001841","Zinc finger\, RING/FYVE/PHD-type,RING finger protein 24,Zinc finger\, RING-CH-type,Zinc finger\, RING-type",,,,,,,,,,GO:0008270,,zinc ion binding,,,,,,"Q9Y225,Q9Y225-2","RNF24_HUMAN,RNF24_HUMAN",0.41,,,24.43,-1.0,,,,1
2pph,PF00564,PB1,Ubiquitin,PB1 domain,IPR000270,PB1 domain,3.10.20.90,Alpha Beta,Roll,Ubiquitin-like (UB roll),"Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A\, domain 1",2.7.11.25,Mitogen-activated protein kinase kinase kinase,ATP:protein phosphotransferase (MAPKKKK-activated),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Mitogen-activated protein kinase kinase kinase",,,,,,,,,"Q99759,Q99759-2","M3K3_HUMAN,M3K3_HUMAN",0.14,,,9.25,-1.0,,,,1
2enp,PF00168,C2,C2,C2 domain,"IPR035892,IPR000008,IPR001565","C2 domain superfamily,C2 domain,Synaptotagmin",2.60.40.150,Mainly Beta,Sandwich,Immunoglobulin-like,C2 domain,,,,,GO:0016020,,,membrane,,,,,Q9BSW7,SYT17_HUMAN,0.28,,,23.5,-1.0,,,,1
2edd,PF00041,fn3,E-set,Fibronectin type III domain,"IPR003961,IPR033012,IPR036116,IPR013783","Fibronectin type III,Netrin receptor DCC,Fibronectin type III superfamily,Immunoglobulin-like fold",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,"GO:0007411,GO:0007399,GO:0006915,GO:0005042","axon guidance,nervous system development,apoptotic process",netrin receptor activity,,,,,,P43146,DCC_HUMAN,0.08,,,17.44,-1.0,,,,1
2nc5,,,,,"IPR001202,IPR036020","WW domain,WW domain superfamily",,,,,,,,,,,,,,,,,,,,,26007,,39.7,-1.0,,,,1
2gut,,,,,"IPR036529,IPR019087","Coactivator CBP\, KIX domain superfamily,Mediator of RNA polymerase II transcription subunit 15",1.10.246.20,Mainly Alpha,Orthogonal Bundle,"Serum Albumin; Chain A\, Domain 1","Coactivator CBP\, KIX domain",,,,,"GO:0006357,GO:0006355,GO:0003712,GO:0016592","regulation of transcription by RNA polymerase II,regulation of transcription\, DNA-templated",transcription coregulator activity,mediator complex,,,,,"Q96RN5,Q96RN5-2,Q96RN5-3","MED15_HUMAN,MED15_HUMAN,MED15_HUMAN",0.09,,,8.43,-1.0,,,,1
2ndg,,,,,,,,,,,,,,,,,,,,,,,,P68431,H31_HUMAN,0.1,26060,,10.02,-1.0,,,,2
2cyk,PF00727,IL4,4H_Cytokine,Interleukin 4,"IPR001325,IPR002354,IPR009079","Interleukin-4/interleukin-13,Interleukin-4,Four-helical cytokine-like\, core",1.20.1250.10,Mainly Alpha,Up-down Bundle,Growth Hormone; Chain: A;,Growth Hormone; Chain: A;,,,,,"GO:1901857,GO:2000352,GO:0120162,GO:0043011,GO:0050728,GO:0042102,GO:0042113,GO:0010633,GO:0042976,GO:0030335,GO:2001171,GO:0042325,GO:0032736,GO:0042116,GO:0045892,GO:0008284,GO:0048295,GO:1903660,GO:0016239,GO:0045944,GO:0097028,GO:0030890,GO:0042531,GO:2001181,GO:0045191,GO:0045189,GO:0019221,GO:0008203,GO:0043066,GO:0050776,GO:0150076,GO:0045582,GO:0045893,GO:1900223,GO:0035745,GO:0045348,GO:0048260,GO:0030183,GO:0042110,GO:0042536,GO:0045671,GO:0048304,GO:0010628,GO:0042092,GO:0006955,GO:0150079,GO:0005515,GO:0005125,GO:0005126,GO:0005136,GO:0008083,GO:0005615,GO:0005576","positive regulation of cellular respiration,negative regulation of endothelial cell apoptotic process,positive regulation of cold-induced thermogenesis,myeloid dendritic cell differentiation,negative regulation of inflammatory response,positive regulation of T cell proliferation,B cell activation,negative regulation of epithelial cell migration,activation of Janus kinase activity,positive regulation of cell migration,positive regulation of ATP biosynthetic process,regulation of phosphorylation,positive regulation of interleukin-13 production,macrophage activation,negative regulation of transcription\, DNA-templated,positive regulation of cell population proliferation,positive regulation of isotype switching to IgE isotypes,negative regulation of complement-dependent cytotoxicity,positive regulation of macroautophagy,positive regulation of transcription by RNA polymerase II,dendritic cell differentiation,positive regulation of B cell proliferation,positive regulation of tyrosine phosphorylation of STAT protein,positive regulation of interleukin-10 secretion,regulation of isotype switching,connective tissue growth factor biosynthetic process,cytokine-mediated signaling pathway,cholesterol metabolic process,negative regulation of apoptotic process,regulation of immune response,neuroinflammatory response,positive regulation of T cell differentiation,positive regulation of transcription\, DNA-templated,positive regulation of amyloid-beta clearance,T-helper 2 cell cytokine production,positive regulation of MHC class II biosynthetic process,positive regulation of receptor-mediated endocytosis,B cell differentiation,T cell activation,negative regulation of tumor necrosis factor biosynthetic process,negative regulation of osteoclast differentiation,positive regulation of isotype switching to IgG isotypes,positive regulation of gene expression,type 2 immune response,immune response,negative regulation of neuroinflammatory response","protein binding,cytokine activity,cytokine receptor binding,interleukin-4 receptor binding,growth factor activity","extracellular space,extracellular region",All alpha proteins,4-helical cytokines,4-helical cytokines,Short-chain cytokines,"P05112,P05112-2","IL4_HUMAN,IL4_HUMAN",1.0,,,3.76,-1.0,,,,1
1u38,PF00595,PDZ,PDZ-like,PDZ domain,"IPR036034,IPR030530,IPR001478","PDZ superfamily,Amyloid beta A4 precursor protein-binding family A member 1,PDZ domain","2.30.42.10,2.30.42.10","Mainly Beta,Mainly Beta","Roll,Roll","Pdz3 Domain,Pdz3 Domain","PDZ domain,Pdz3 Domain",,,,,"GO:0065003,GO:0007268,GO:0001540,GO:0008021","protein-containing complex assembly,chemical synaptic transmission",amyloid-beta binding,synaptic vesicle,All beta proteins,PDZ domain-like,PDZ domain-like,PDZ domain,"Q02410,Q02410-2","APBA1_HUMAN,APBA1_HUMAN",0.1,,,2.23,-1.0,,,,1
6do6,PF14651,Lipocalin_7,Calycin,Lipocalin / cytosolic fatty-acid binding protein family,"IPR031276,IPR031259,IPR012674,IPR000463","Liver basic fatty acid-binding protein,Intracellular lipid binding protein,Calycin,Cytosolic fatty-acid binding",2.40.128.20,Mainly Beta,Beta Barrel,Lipocalin,Calycin beta-barrel core domain,,,,,"GO:0043154,GO:0032000,GO:0071456,GO:0098869,GO:0051345,GO:0043066,GO:0019433,GO:0050892,GO:0015909,GO:0070301,GO:0019216,GO:0003682,GO:0005324,GO:0005515,GO:0016209,GO:0008289,GO:0008144,GO:0005543,GO:0005504,GO:0032052,GO:0005634,GO:0005654,GO:0070062,GO:0045179,GO:0032991,GO:0005737,GO:0005782,GO:0005829","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of fatty acid beta-oxidation,cellular response to hypoxia,cellular oxidant detoxification,positive regulation of hydrolase activity,negative regulation of apoptotic process,triglyceride catabolic process,intestinal absorption,long-chain fatty acid transport,cellular response to hydrogen peroxide,regulation of lipid metabolic process","chromatin binding,long-chain fatty acid transporter activity,protein binding,antioxidant activity,lipid binding,drug binding,phospholipid binding,fatty acid binding,bile acid binding","nucleus,nucleoplasm,extracellular exosome,apical cortex,protein-containing complex,cytoplasm,peroxisomal matrix,cytosol",,,,,P07148,FABPL_HUMAN,1.0,30477,,60.3,-1.0,,,,1
2m5h,PF01883,FeS_assembly_P,NifU,Iron-sulfur cluster assembly protein,"IPR034904,IPR039796,IPR002744","Fe-S cluster assembly domain superfamily,MIP18 family,MIP18 family-like",3.30.300.130,Alpha Beta,2-Layer Sandwich,"GMP Synthetase; Chain A\, domain 3",Fe-S cluster assembly (FSCA),,,,,GO:0106035,protein maturation by [4Fe-4S] cluster transfer,,,,,,,"Q9H5X1,Q9H5X1-2","CIA2A_HUMAN,CIA2A_HUMAN",0.83,18548,,59.88,-1.0,,,,1
2ee9,,,,,"IPR001298,IPR017868,IPR029874,IPR013783,IPR014756","Filamin/ABP280 repeat,Filamin/ABP280 repeat-like,Filamin-B,Immunoglobulin-like fold,Immunoglobulin E-set",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,"GO:0030036,GO:0030154,GO:0003779","actin cytoskeleton organization,cell differentiation",actin binding,,,,,,"O75369,O75369-4,O75369-5,O75369-9,O75369-8,O75369-3,O75369-6,O75369-7,O75369-2","FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN,FLNB_HUMAN",0.03,,,22.8,-1.0,,,,1
2ee0,PF00028,Cadherin,E-set,Cadherin domain,"IPR002126,IPR015919","Cadherin-like,Cadherin-like superfamily",2.60.40.60,Mainly Beta,Sandwich,Immunoglobulin-like,Cadherins,,,,,"GO:0007156,GO:0005509,GO:0016020",homophilic cell adhesion via plasma membrane adhesion molecules,calcium ion binding,membrane,,,,,"Q9HC56,Q9HC56-2","PCDH9_HUMAN,PCDH9_HUMAN",0.09,,,29.51,-1.0,,,,1
2edq,PF07679,I-set,Ig,Immunoglobulin I-set domain,"IPR003599,IPR003598,IPR013098,IPR013783,IPR036179","Immunoglobulin subtype,Immunoglobulin subtype 2,Immunoglobulin I-set,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,2.7.11.1,Non-specific serine/threonine protein kinase,ATP:protein phosphotransferase (non-specific),"Transferases,Transferring phosphorus-containing groups,Protein-serine/threonine kinases,Non-specific serine/threonine protein kinase",,,,,,,,,"Q5VST9,Q5VST9-2,Q5VST9-6,Q5VST9-3,Q5VST9-5","OBSCN_HUMAN,OBSCN_HUMAN,OBSCN_HUMAN,OBSCN_HUMAN,OBSCN_HUMAN",0.01,,,12.7,-1.0,,,,1
2m1k,PF01023,S_100,EF_hand,S-100/ICaBP type calcium binding domain,"IPR011992,IPR002048,IPR013787,IPR034118","EF-hand domain pair,EF-hand domain,S100/CaBP-9k-type\, calcium binding\, subdomain,Protein S100-A6",1.10.238.10,Mainly Alpha,Orthogonal Bundle,Recoverin; domain 1,EF-hand,,,,,"GO:0007165,GO:0007409,GO:0048146,GO:0034220,GO:0005509,GO:0005515,GO:0015075,GO:0042803,GO:0044548,GO:0046872,GO:0005523,GO:0048306,GO:0008270,GO:0005634,GO:0001726,GO:0016020,GO:0070062,GO:0005635,GO:0048471,GO:0005737,GO:0031234,GO:0005886,GO:0005576,GO:0005829,GO:0062023","signal transduction,axonogenesis,positive regulation of fibroblast proliferation,ion transmembrane transport","calcium ion binding,protein binding,ion transmembrane transporter activity,protein homodimerization activity,S100 protein binding,metal ion binding,tropomyosin binding,calcium-dependent protein binding,zinc ion binding","nucleus,ruffle,membrane,extracellular exosome,nuclear envelope,perinuclear region of cytoplasm,cytoplasm,extrinsic component of cytoplasmic side of plasma membrane,plasma membrane,extracellular region,cytosol,collagen-containing extracellular matrix",,,,,P06703,S10A6_HUMAN,1.0,18868,,16.39,-1.0,,,,1
2m1k,,,,,"IPR003599,IPR013783,IPR036179","Immunoglobulin subtype,Immunoglobulin-like fold,Immunoglobulin-like domain superfamily",2.60.40.10,Mainly Beta,Sandwich,Immunoglobulin-like,Immunoglobulins,,,,,,,,,,,,,"Q15109,Q15109-4,Q15109-5,Q15109-9,Q15109-3,Q15109-6,Q15109-8,Q15109-10,Q15109-7,Q15109-2","RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN,RAGE_HUMAN",0.26,18868,,16.39,-1.0,,,,2
1ycm,PF00413,Peptidase_M10,Peptidase_MA,Matrixin,"IPR001818,IPR033739,IPR024079,IPR006026,IPR021190,IPR028718","Peptidase M10\, metallopeptidase,Peptidase M10A\, catalytic domain,Metallopeptidase\, catalytic domain superfamily,Peptidase\, metallopeptidase,Peptidase M10A,Macrophage metalloelastase",3.40.390.10,Alpha Beta,3-Layer(aba) Sandwich,Collagenase (Catalytic Domain),Collagenase (Catalytic Domain),3.4.24.65,Macrophage elastase,-,"Hydrolases,Acting on peptide bonds (peptidases),Metalloendopeptidases,Macrophage elastase","GO:0006508,GO:0042060,GO:0008237,GO:0004222,GO:0008270,GO:0031012","proteolysis,wound healing","metallopeptidase activity,metalloendopeptidase activity,zinc ion binding",extracellular matrix,Alpha and beta proteins (a+b),Zincin-like,"Metalloproteases (""zincins"")\, catalytic domain","Matrix metalloproteases\, catalytic domain",P39900,MMP12_HUMAN,0.35,,,8.0,-1.0,,,,1
6qb0,,,,,,,,,,,,,,,,,,,,,,,,,,,34342,,0.55,-1.0,,,,1
5b7a,PF11976,Rad60-SLD,Ubiquitin,Ubiquitin-2 like Rad60 SUMO-like,"IPR029071,IPR000626,IPR022617","Ubiquitin-like domain superfamily,Ubiquitin-like domain,Rad60/SUMO-like domain",,,,,,,,,,"GO:0043392,GO:0090204,GO:0060334,GO:0060021,GO:0045892,GO:0006281,GO:0043433,GO:1902260,GO:0032880,GO:0016925,GO:0031647,GO:0032436,GO:0030578,GO:0031334,GO:0006355,GO:0006303,GO:0050821,GO:0000122,GO:1901896,GO:0016032,GO:1903169,GO:0086004,GO:0034605,GO:0045759,GO:0071276,GO:0031625,GO:0005515,GO:0008134,GO:0044389,GO:0003723,GO:0019899,GO:0044388,GO:0031386,GO:1990381,GO:0015459,GO:0016605,GO:0045202,GO:0005634,GO:0005654,GO:0005643,GO:0016020,GO:0000792,GO:0005730,GO:0005635,GO:0097165,GO:0001741,GO:0016604,GO:0001650,GO:0016607,GO:0005737,GO:0005886,GO:0030425,GO:0005829,GO:0008076,GO:0031965","negative regulation of DNA binding,protein localization to nuclear pore,regulation of interferon-gamma-mediated signaling pathway,roof of mouth development,negative regulation of transcription\, DNA-templated,DNA repair,negative regulation of DNA-binding transcription factor activity,negative regulation of delayed rectifier potassium channel activity,regulation of protein localization,protein sumoylation,regulation of protein stability,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,PML body organization,positive regulation of protein-containing complex assembly,regulation of transcription\, DNA-templated,double-strand break repair via nonhomologous end joining,protein stabilization,negative regulation of transcription by RNA polymerase II,positive regulation of ATPase-coupled calcium transmembrane transporter activity,viral process,regulation of calcium ion transmembrane transport,regulation of cardiac muscle cell contraction,cellular response to heat,negative regulation of action potential,cellular response to cadmium ion","ubiquitin protein ligase binding,protein binding,transcription factor binding,ubiquitin-like protein ligase binding,RNA binding,enzyme binding,small protein activating enzyme binding,protein tag,ubiquitin-specific protease binding,potassium channel regulator activity","PML body,synapse,nucleus,nucleoplasm,nuclear pore,membrane,heterochromatin,nucleolus,nuclear envelope,nuclear stress granule,XY body,nuclear body,fibrillar center,nuclear speck,cytoplasm,plasma membrane,dendrite,cytosol,voltage-gated potassium channel complex,nuclear membrane",,,,,"P63165,P63165-2","SUMO1_HUMAN,SUMO1_HUMAN",0.96,"25576,36000",,14.77,-1.0,,,,1
